Lang	Lang
	
lemma+unseen	lemma+unseen
both	both
lemma	lemma
feats	feats
ang_large	ang_large
60.284	43.118
81.923	78.479
39.586	10.84
76.619	68.705
45.087	12.717
ara_large	ara_large
74.286	26.917
81.785	52.823
68.431	1.323
79.866	50.783
66.809	2.766
asm_large	asm_large
66.784	31.859
86.517	62.615
46.869	1.111
83.333	83.333
88.889	0.0
evn_large	evn_large
47.676	25.072
66.667	66.667
41.408	12.582
0	0
57.481	44.593
got_large	got_large
66.8	46.038
94.909	84.606
39.623	4.654
91.716	87.574
38.537	17.073
heb_large	heb_large
47.9	20.35
95.1	35.1
0.7	5.6
0	0
0	0
hun_large	hun_large
67.45	37.25
95.13	75.0
46.032	1.27
94.509	73.121
37.518	0.584
kat_large	kat_large
80.15	45.5
95.956	77.696
63.702	9.255
96.739	96.739
66.667	12.5
khk_large	khk_large
48.939	38.03
97.643	75.102
0.0	0.508
94.118	88.235
0.0	0.0
kor_large	kor_large
47.403	32.332
72.799	66.14
26.378	0.0
39.759	59.036
12.857	0.0
krl_large	krl_large
61.022	5.361
89.303	4.478
31.127	0.858
87.5	20.833
42.391	13.043
lud_large	lud_large
83.806	89.372
94.452	95.871
49.495	51.515
83.491	93.396
86.705	97.11
non_large	non_large
77.097	37.318
91.407	67.991
64.315	5.705
83.607	80.328
37.143	17.143
pol_large	pol_large
87.25	43.6
95.082	85.246
88.571	0.0
96.699	86.262
77.097	1.075
poma_large	poma_large
64.732	24.462
73.373	40.828
55.233	1.744
74.699	47.831
54.952	2.415
slk_large	slk_large
86.05	47.45
92.857	87.5
87.234	2.128
95.233	92.373
76.495	2.833
tur_large	tur_large
92.6	36.4
98.97	72.654
91.139	0.23
95.238	66.667
57.252	5.344
vep_large	vep_large
58.555	32.413
75.485	64.078
44.393	1.402
69.125	60.377
46.14	4.211
_LARGE	_LARGE
	
49.246	9.802
89.812	64.437
42.232	5.428
86.011	71.52
TOTAL	TOTAL
	
42.232	5.795
86.011	62.435
61.578	15.792
